problem_id,category,solver_rule,solver_predicted,solver_correct,answer
0040ff76,gravity,gravity_solver,154.63,True,154.62
00463d04,gravity,gravity_solver,50.51,True,50.51
00619cba,gravity,gravity_solver,91.84,True,91.84
00662ac2,gravity,gravity_solver,11.78,True,11.78
0073bcbb,gravity,gravity_solver,20.33,True,20.33
00ec1c63,gravity,gravity_solver,7.66,True,7.66
00ed1836,gravity,gravity_solver,24.28,True,24.28
01714be2,gravity,gravity_solver,140.42,False,140.44
01a065bb,gravity,gravity_solver,45.00,True,45.0
01f90423,gravity,gravity_solver,141.51,True,141.52
020d8b25,gravity,gravity_solver,27.75,True,27.75
0214e81f,gravity,gravity_solver,60.40,True,60.39
023aa939,gravity,gravity_solver,125.68,True,125.68
02473b23,gravity,gravity_solver,55.52,True,55.52
028c71d7,gravity,gravity_solver,6.06,True,6.06
02beaa05,gravity,gravity_solver,38.60,True,38.6
02da60a0,gravity,gravity_solver,55.28,True,55.28
0320b87e,gravity,gravity_solver,37.11,True,37.11
0320cf76,gravity,gravity_solver,124.02,True,124.02
037921b9,gravity,gravity_solver,86.26,True,86.26
037c45c6,gravity,gravity_solver,43.28,True,43.29
037cbabf,gravity,gravity_solver,52.38,True,52.37
03cb7b73,gravity,gravity_solver,23.66,True,23.66
03dc4d0c,gravity,gravity_solver,150.39,True,150.4
0409e7d8,gravity,gravity_solver,58.73,True,58.73
049d892c,gravity,gravity_solver,70.91,True,70.91
04c23a05,gravity,gravity_solver,29.37,True,29.37
054d3e92,gravity,gravity_solver,180.41,True,180.41
057fa18f,gravity,gravity_solver,23.87,True,23.87
059af21b,gravity,gravity_solver,21.32,True,21.31
06181e6a,gravity,gravity_solver,8.13,True,8.13
062ccf0e,gravity,gravity_solver,22.45,True,22.45
062fd9cb,gravity,gravity_solver,74.38,True,74.38
069813dc,gravity,gravity_solver,82.38,True,82.38
06b3ee9d,gravity,gravity_solver,127.75,True,127.75
077b20f7,gravity,gravity_solver,76.59,True,76.59
07b8c3d3,gravity,gravity_solver,86.24,True,86.23
07c96a99,gravity,gravity_solver,39.47,True,39.47
07e9a377,gravity,gravity_solver,15.65,True,15.66
0848cbc0,gravity,gravity_solver,127.07,True,127.07
086adade,gravity,gravity_solver,88.75,True,88.74
086e5409,gravity,gravity_solver,48.70,True,48.7
088d07a3,gravity,gravity_solver,97.85,True,97.85
08f33ade,gravity,gravity_solver,60.54,True,60.54
09311189,gravity,gravity_solver,101.99,True,101.99
09458326,gravity,gravity_solver,75.10,True,75.11
096bf683,gravity,gravity_solver,93.72,True,93.72
0978d9f3,gravity,gravity_solver,52.38,True,52.38
09913b3c,gravity,gravity_solver,100.40,True,100.4
09a80640,gravity,gravity_solver,165.19,True,165.19
09bd635a,gravity,gravity_solver,30.24,True,30.24
09c8f227,gravity,gravity_solver,96.31,True,96.31
09e5b802,gravity,gravity_solver,30.38,True,30.38
09eb3e58,gravity,gravity_solver,56.27,True,56.27
0a039aa6,gravity,gravity_solver,20.35,True,20.35
0a09555d,gravity,gravity_solver,54.90,True,54.9
